time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
20,0.1,1.00000008553207,-7.1523430889149,5.4934645894399,9.60405198265727,5.49427552254616,-7.1489097014375,0.786618270085523,0.800275084866525,0.798370694490466,0.80040112961943,0.780009404008792,0.0674979558226127,0.000244315908601978,1.8945437792606e-05,0.000271295142313785,0.0613910235739416,500,500,500,500,500,-23.9050353748416,-23.9047304770588
20.5,0.1025,1.05062508553207,-6.77896837479096,5.98977681769907,10.1450916181308,5.990717789987,-6.77525899327458,0.790877639368818,0.796786603919545,0.795153449071087,0.796901394571322,0.783918721556859,0.0698543153490477,0.000148184979279268,1.14909803573522e-05,0.000164548699560242,0.063533602856208,512.5,512.5,512.5,512.5,512.5,-23.6732397675698,-23.6728897702789
21,0.105,1.10250008553208,-6.40910315232736,6.47839543059729,10.6768315980937,6.47951096712933,-6.40508820198272,0.794960935648894,0.793356953576394,0.792086664861435,0.79344092353288,0.787642234365861,0.0722606269426743,8.98787248747544e-05,6.96963124807187e-06,9.98038220081779e-05,0.0657261558005635,525,525,525,525,525,-23.439621277892,-23.4392227994728
21.5,0.1075,1.15562508553208,-6.04251918585811,6.95969005119349,11.1997181115191,6.961005958903,-6.03816814606802,0.798878888873149,0.790081249079002,0.789261460948285,0.79010802523179,0.791189674666385,0.074725085890243,5.45142022616477e-05,4.22729503646096e-06,6.05340779702974e-05,0.0679753508927444,537.5,537.5,537.5,537.5,537.5,-23.2042531151554,-23.20380240437
22,0.11,1.21000008553208,-5.67894714301605,7.43400355451865,11.7141561493523,7.43553759894297,-5.67429113009382,0.800185181132876,0.78708211408251,0.786783743142698,0.787018911745658,0.794568389578773,0.0772489394698347,3.30645350537624e-05,2.5639840466673e-06,3.67157742378672e-05,0.0702889168597849,550,550,550,550,550,-22.9672042944293,-22.9666973551482
22.5,0.1125,1.26562508553208,-5.31774399207291,7.90167957715767,12.2205118753894,7.90341260757481,-5.31324277714572,0.798166751949364,0.784503219303775,0.78476327042728,0.784315732032374,0.796264088542841,0.0798122500120066,2.00546546862109e-05,1.5551349684264e-06,2.22692432444629e-05,0.0726757192432815,562.5,562.5,562.5,562.5,562.5,-22.728536265124,-22.7279726551463
23,0.115,1.32250008553208,-4.95872458077224,8.36304784332805,12.7191192097211,8.36492984468441,-4.95443103796345,0.796118051843077,0.782487873332021,0.783295813576223,0.78214896651875,0.794010195203258,0.0824167302144458,1.21637634949472e-05,9.43237081597186e-07,1.35069794157736e-05,0.0751457763594131,575,575,575,575,575,-22.4883033462959,-22.4876870025842
23.5,0.1175,1.38062508553209,-4.60180929296507,8.81838322744898,13.2102862386669,8.82038800922294,-4.59762651602512,0.794025523586139,0.78113152822316,0.782433874616659,0.780625433284141,0.791702832116375,0.0850683476980505,7.37769580636212e-06,5.72102233342134e-07,8.19239747909985e-06,0.0777101806254972,587.5,587.5,587.5,587.5,587.5,-22.2465577297004,-22.2458915882023
24,0.12,1.44000008553209,-4.24691561246686,9.267921597118,13.6943017780586,9.27004123517742,-4.24276664626314,0.791875789391301,0.780475610425722,0.782155853788808,0.779804885501734,0.789329549148224,0.0877749586747236,4.4747990071298e-06,3.46997568472324e-07,4.96894058357294e-06,0.0803808352394473,600,600,600,600,600,-22.0033497287104,-22.0026354853576
24.5,0.1225,1.50062508553209,-3.89396138569458,9.71187785098482,14.1714426188419,9.71411325743725,-3.88978429579817,0.789655832803154,0.780487653104797,0.782382436323583,0.779673641930884,0.786878282009076,0.0905464718049964,2.71410293486056e-06,2.10464675056833e-07,3.01381496678067e-06,0.0831700690017677,612.5,612.5,612.5,612.5,612.5,-21.7587277906335,-21.7579661593197
